category,accuracy,grp_size,gt_id,run_id
fuel,0.45454545454545453,11,939e78b3-0716-474-GT_TOPIC_fuel,939e78b3-0716-474
cpi,0.9154929577464789,71,939e78b3-0716-474-GT_TOPIC_cpi,939e78b3-0716-474
meal-feed,0.5454545454545454,11,939e78b3-0716-474-GT_TOPIC_meal-feed,939e78b3-0716-474
lumber,0.8571428571428571,14,939e78b3-0716-474-GT_TOPIC_lumber,939e78b3-0716-474
hog,1.0,1,939e78b3-0716-474-GT_TOPIC_hog,939e78b3-0716-474
coffee,0.7767857142857143,112,939e78b3-0716-474-GT_TOPIC_coffee,939e78b3-0716-474
carcass,0.7272727272727273,11,939e78b3-0716-474-GT_TOPIC_carcass,939e78b3-0716-474
wpi,1.0,23,939e78b3-0716-474-GT_TOPIC_wpi,939e78b3-0716-474
money-supply,0.609271523178808,151,939e78b3-0716-474-GT_TOPIC_money-supply,939e78b3-0716-474
lei,0.7857142857142857,14,40b24c8d-b324-4cd-GT_TOPIC_lei,40b24c8d-b324-4cd
nzdlr,1.0,1,40b24c8d-b324-4cd-GT_TOPIC_nzdlr,40b24c8d-b324-4cd
nickel,1.0,4,40b24c8d-b324-4cd-GT_TOPIC_nickel,40b24c8d-b324-4cd
gold,0.8222222222222222,90,40b24c8d-b324-4cd-GT_TOPIC_gold,40b24c8d-b324-4cd
naphtha,1.0,1,40b24c8d-b324-4cd-GT_TOPIC_naphtha,40b24c8d-b324-4cd
jet,1.0,3,40b24c8d-b324-4cd-GT_TOPIC_jet,40b24c8d-b324-4cd
livestock,0.5909090909090909,22,40b24c8d-b324-4cd-GT_TOPIC_livestock,40b24c8d-b324-4cd
money-fx,0.43042071197411,309,40b24c8d-b324-4cd-GT_TOPIC_money-fx,40b24c8d-b324-4cd
earn,0.5850114708131532,3923,40b24c8d-b324-4cd-GT_TOPIC_earn,40b24c8d-b324-4cd
yen,1.0,6,40b24c8d-b324-4cd-GT_TOPIC_yen,40b24c8d-b324-4cd
copper,0.6818181818181818,44,40b24c8d-b324-4cd-GT_TOPIC_copper,40b24c8d-b324-4cd
lead,0.75,8,40b24c8d-b324-4cd-GT_TOPIC_lead,40b24c8d-b324-4cd
iron-steel,0.8947368421052632,38,40b24c8d-b324-4cd-GT_TOPIC_iron-steel,40b24c8d-b324-4cd
instal-debt,0.3333333333333333,6,40b24c8d-b324-4cd-GT_TOPIC_instal-debt,40b24c8d-b324-4cd
dmk,1.0,1,40b24c8d-b324-4cd-GT_TOPIC_dmk,40b24c8d-b324-4cd
tin,0.8518518518518519,27,40b24c8d-b324-4cd-GT_TOPIC_tin,40b24c8d-b324-4cd
interest,0.4522058823529412,272,40b24c8d-b324-4cd-GT_TOPIC_interest,40b24c8d-b324-4cd
cpu,1.0,4,40b24c8d-b324-4cd-GT_TOPIC_cpu,40b24c8d-b324-4cd
jobs,0.5918367346938775,49,40b24c8d-b324-4cd-GT_TOPIC_jobs,40b24c8d-b324-4cd
grain,0.8235294117647058,51,40b24c8d-b324-4cd-GT_TOPIC_grain,40b24c8d-b324-4cd
housing,0.8235294117647058,17,40b24c8d-b324-4cd-GT_TOPIC_housing,40b24c8d-b324-4cd
nat-gas,0.7222222222222222,36,40b24c8d-b324-4cd-GT_TOPIC_nat-gas,40b24c8d-b324-4cd
orange,0.8636363636363636,22,40b24c8d-b324-4cd-GT_TOPIC_orange,40b24c8d-b324-4cd
gnp,0.8243243243243243,74,40b24c8d-b324-4cd-GT_TOPIC_gnp,40b24c8d-b324-4cd
tea,0.8,5,40b24c8d-b324-4cd-GT_TOPIC_tea,40b24c8d-b324-4cd
income,0.6363636363636364,11,40b24c8d-b324-4cd-GT_TOPIC_income,40b24c8d-b324-4cd
coconut,1.0,1,40b24c8d-b324-4cd-GT_TOPIC_coconut,40b24c8d-b324-4cd
rice,1.0,1,40b24c8d-b324-4cd-GT_TOPIC_rice,40b24c8d-b324-4cd
cocoa,0.6557377049180327,61,40b24c8d-b324-4cd-GT_TOPIC_cocoa,40b24c8d-b324-4cd
rand,1.0,1,40b24c8d-b324-4cd-GT_TOPIC_rand,40b24c8d-b324-4cd
sugar,0.9016393442622951,122,40b24c8d-b324-4cd-GT_TOPIC_sugar,40b24c8d-b324-4cd
gas,0.6666666666666666,18,40b24c8d-b324-4cd-GT_TOPIC_gas,40b24c8d-b324-4cd
strategic-metal,0.6666666666666666,15,40b24c8d-b324-4cd-GT_TOPIC_strategic-metal,40b24c8d-b324-4cd
pet-chem,0.7368421052631579,19,40b24c8d-b324-4cd-GT_TOPIC_pet-chem,40b24c8d-b324-4cd
ship,0.6527777777777778,144,40b24c8d-b324-4cd-GT_TOPIC_ship,40b24c8d-b324-4cd
groundnut,1.0,2,40b24c8d-b324-4cd-GT_TOPIC_groundnut,40b24c8d-b324-4cd
silver,1.0,4,40b24c8d-b324-4cd-GT_TOPIC_silver,40b24c8d-b324-4cd
l-cattle,1.0,1,40b24c8d-b324-4cd-GT_TOPIC_l-cattle,40b24c8d-b324-4cd
reserves,0.6530612244897959,49,40b24c8d-b324-4cd-GT_TOPIC_reserves,40b24c8d-b324-4cd
bop,0.4838709677419355,31,40b24c8d-b324-4cd-GT_TOPIC_bop,40b24c8d-b324-4cd
heat,1.0,10,40b24c8d-b324-4cd-GT_TOPIC_heat,40b24c8d-b324-4cd
platinum,1.0,3,40b24c8d-b324-4cd-GT_TOPIC_platinum,40b24c8d-b324-4cd
oilseed,0.7777777777777778,9,40b24c8d-b324-4cd-GT_TOPIC_oilseed,40b24c8d-b324-4cd
cotton,0.875,24,40b24c8d-b324-4cd-GT_TOPIC_cotton,40b24c8d-b324-4cd
dlr,1.0,6,40b24c8d-b324-4cd-GT_TOPIC_dlr,40b24c8d-b324-4cd
propane,1.0,1,40b24c8d-b324-4cd-GT_TOPIC_propane,40b24c8d-b324-4cd
zinc,0.8461538461538461,13,40b24c8d-b324-4cd-GT_TOPIC_zinc,40b24c8d-b324-4cd
ipi,0.4888888888888889,45,40b24c8d-b324-4cd-GT_TOPIC_ipi,40b24c8d-b324-4cd
trade,0.8251533742331288,326,40b24c8d-b324-4cd-GT_TOPIC_trade,40b24c8d-b324-4cd
rubber,0.9,40,40b24c8d-b324-4cd-GT_TOPIC_rubber,40b24c8d-b324-4cd
retail,0.55,20,40b24c8d-b324-4cd-GT_TOPIC_retail,40b24c8d-b324-4cd
crude,0.6871657754010695,374,40b24c8d-b324-4cd-GT_TOPIC_crude,40b24c8d-b324-4cd
veg-oil,0.9,30,40b24c8d-b324-4cd-GT_TOPIC_veg-oil,40b24c8d-b324-4cd
potato,0.4,5,40b24c8d-b324-4cd-GT_TOPIC_potato,40b24c8d-b324-4cd
acq,0.743455497382199,2292,40b24c8d-b324-4cd-GT_TOPIC_acq,40b24c8d-b324-4cd
alum,0.76,50,40b24c8d-b324-4cd-GT_TOPIC_alum,40b24c8d-b324-4cd
fuel,0.9090909090909091,11,40b24c8d-b324-4cd-GT_TOPIC_fuel,40b24c8d-b324-4cd
cpi,0.7323943661971831,71,40b24c8d-b324-4cd-GT_TOPIC_cpi,40b24c8d-b324-4cd
meal-feed,0.9090909090909091,11,40b24c8d-b324-4cd-GT_TOPIC_meal-feed,40b24c8d-b324-4cd
lumber,1.0,14,40b24c8d-b324-4cd-GT_TOPIC_lumber,40b24c8d-b324-4cd
hog,1.0,1,40b24c8d-b324-4cd-GT_TOPIC_hog,40b24c8d-b324-4cd
coffee,0.8839285714285714,112,40b24c8d-b324-4cd-GT_TOPIC_coffee,40b24c8d-b324-4cd
carcass,0.7272727272727273,11,40b24c8d-b324-4cd-GT_TOPIC_carcass,40b24c8d-b324-4cd
wpi,0.9130434782608695,23,40b24c8d-b324-4cd-GT_TOPIC_wpi,40b24c8d-b324-4cd
money-supply,0.2781456953642384,151,40b24c8d-b324-4cd-GT_TOPIC_money-supply,40b24c8d-b324-4cd
lei,0.5,14,ecad7b3a-c23c-4dc-GT_TOPIC_lei,ecad7b3a-c23c-4dc
nzdlr,1.0,1,ecad7b3a-c23c-4dc-GT_TOPIC_nzdlr,ecad7b3a-c23c-4dc
nickel,0.75,4,ecad7b3a-c23c-4dc-GT_TOPIC_nickel,ecad7b3a-c23c-4dc
gold,0.7444444444444445,90,ecad7b3a-c23c-4dc-GT_TOPIC_gold,ecad7b3a-c23c-4dc
naphtha,1.0,1,ecad7b3a-c23c-4dc-GT_TOPIC_naphtha,ecad7b3a-c23c-4dc
jet,0.6666666666666666,3,ecad7b3a-c23c-4dc-GT_TOPIC_jet,ecad7b3a-c23c-4dc
livestock,0.5909090909090909,22,ecad7b3a-c23c-4dc-GT_TOPIC_livestock,ecad7b3a-c23c-4dc
money-fx,0.46601941747572817,309,ecad7b3a-c23c-4dc-GT_TOPIC_money-fx,ecad7b3a-c23c-4dc
earn,0.5939332143767525,3923,ecad7b3a-c23c-4dc-GT_TOPIC_earn,ecad7b3a-c23c-4dc
yen,0.8333333333333334,6,ecad7b3a-c23c-4dc-GT_TOPIC_yen,ecad7b3a-c23c-4dc
